Location Code,Region Code,Bldg Address1,Bldg Address2,Bldg City,Bldg County,Bldg State,Bldg Zip,Congressional District,Bldg Status,Property Type,Bldg ANSI Usable,Total Parking Spaces,Owned/Leased,Construction Date,Historical Type,Historical Status,ABA Accessibility Flag 
CT0013,"1","135 HIGH ST"," ","HARTFORD","HARTFORD",CT,061031125, ,ACTIVE,BUILDING,93952,28,OWNED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0024,"1","141 CHURCH ST","U.S. COURTHOUSE","NEW HAVEN","NEW HAVEN",CT,065102001, ,ACTIVE,BUILDING,67263,0,OWNED,01-Jan-1919,Field Not In Use,National Register Listed,Will Conform
CT0047,"1","135 GRAND ST"," ","WATERBURY","NEW HAVEN",CT,067029998, ,ACTIVE,BUILDING,269,0,LEASED,01-Jan-1933,Field Not In Use,National Register Listed,Will Conform
CT0053,"1","450 MAIN ST"," ","HARTFORD","HARTFORD",CT,061031804, ,ACTIVE,BUILDING,197999,105,OWNED,01-Jan-1963,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0059,"1","915 LAFAYETTE BLVD"," ","BRIDGEPORT","FAIRFIELD",CT,066044706, ,ACTIVE,BUILDING,85924,131,OWNED,01-Jan-1967,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0060,"1","147 LITCHFIELD ST"," ","WEST TORRINGTON","LITCHFIELD",CT,067906407, ,ACTIVE,BUILDING,5052,5,OWNED,01-Jan-1969,Field Not In Use,Evaluated - Not Historic,Will Conform
CT0061,"1","150 COURT ST"," ","NEW HAVEN","NEW HAVEN",CT,065112020, ,ACTIVE,BUILDING,82448,83,OWNED,01-Jan-1977,Field Not In Use,Evaluated - Not Historic,Will Conform
CT3316,"1","130 DARLIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083234, ,ACTIVE,BUILDING,37395,164,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3319,"1","101 BROAD ST"," ","STAMFORD","FAIRFIELD",CT,069012797, ,ACTIVE,BUILDING,5020,8,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3323,"1","333 E RIVER DR"," ","EAST HARTFORD","HARTFORD",CT,061084200, ,ACTIVE,BUILDING,15150,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3331,"1","157 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065102100, ,ACTIVE,BUILDING,101318,47,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3341,"1","265 CHURCH ST"," ","NEW HAVEN","NEW HAVEN",CT,065107013, ,ACTIVE,BUILDING,13827,27,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3354,"1","530 PRESTON AVE"," ","MERIDEN","NEW HAVEN",CT,064504893, ,ACTIVE,BUILDING,11670,39,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3358,"1","2 SHAWS CV"," ","NEW LONDON","NEW LONDON",CT,06320, ,ACTIVE,BUILDING,0,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3360,"1","1000 LAFAYETTE BLVD","10TH FLOOR","BRIDGEPORT","FAIRFIELD",CT,066044725, ,ACTIVE,BUILDING,31055,103,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3362,"1","213 COURT ST"," ","MIDDLETOWN","MIDDLESEX",CT,064573346, ,ACTIVE,BUILDING,1950,11,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3369,"1","20 CHURCH ST"," ","HARTFORD","HARTFORD",CT,061031221, ,ACTIVE,BUILDING,21432,9,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Will Conform
CT3373,"1","101 PITKIN ST"," ","EAST HARTFORD","HARTFORD",CT,061083316, ,ACTIVE,BUILDING,0,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3375,"1","600 STATE ST"," ","NEW HAVEN","NEW HAVEN",CT,065116505, ,ACTIVE,BUILDING,78826,220,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3376,"1","131 WEST ST"," ","DANBURY","FAIRFIELD",CT,068106376, ,ACTIVE,BUILDING,6277,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3389,"1","344 MERROW RD"," ","TOLLAND","TOLLAND",CT,060843917, ,ACTIVE,BUILDING,10302,52,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3393,"1","10 COLUMBUS BLVD"," ","HARTFORD","HARTFORD",CT,061061976, ,ACTIVE,BUILDING,5198,21,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3395,"1","334 ELLA GRASSO TPKE"," ","WINDSOR LOCKS","HARTFORD",CT,060961042, ,ACTIVE,BUILDING,11825,5,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3398,"1","1320 MAIN ST"," ","WILLIMANTIC","WINDHAM",CT,062261940, ,ACTIVE,BUILDING,6065,25,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
CT3400,"1","5 SHAWS CV","SUITE 206","NEW LONDON","NEW LONDON",CT,063204974, ,ACTIVE,BUILDING,1137,0,LEASED,01-Jan-2000,Field Not In Use,Not Evaluated,Yes
